nazwa,prawdopodobienstwo,typ,horyzont,horyzont_mies,wplyw,ryzyko,szansa,indeks_hama
Gwałtowny wzrost udziału energii z OZE w miksie energetycznym krajów UE oraz Chin,0.8,pozytywny,12m,12,0.8788658631704791,0.0,0.8,70.30926905363833
Wskutek katastrofy naturalnej wiodący światowy producent procesorów graficznych stracił 60% zdolności produkcyjnych,0.75,pozytywny,12m,12,0.9287514994720547,0.0,0.75,69.6563624604041
"Rosja kontroluje dwie główne elektrownie ukraińskie, które pracują na potrzeby konsumentów rosyjskich",0.7,pozytywny,12m,12,0.8733142057724905,0.0,0.7,61.131994404074334
Gwałtowny wzrost udziału energii z OZE w miksie energetycznym krajów UE oraz Chin,0.8,pozytywny,36m,36,0.5029056431836765,0.0,0.8,40.232451454694115
Katastrofa naturalna w roku 2028,0.3,negatywny,36m,36,-0.5378776190040533,0.7,0.0,37.65143333028373
"Rosja kontroluje dwie główne elektrownie ukraińskie, które pracują na potrzeby konsumentów rosyjskich",0.7,pozytywny,36m,36,0.4353654420024923,0.0,0.7,30.475580940174456
Wzrost produkcji procesorów graficznych w Azji Wschodniej,0.4,negatywny,36m,36,-0.4914868335215673,0.6,0.0,29.489210011294038
Wskutek katastrofy naturalnej wiodący światowy producent procesorów graficznych stracił 60% zdolności produkcyjnych,0.75,pozytywny,36m,36,0.37164807986762377,0.0,0.75,27.87360599007178
Katastrofa naturalna wiodący światowy producent procesorów graficznych stracił 60% zdolności produkcyjnych,0.75,negatywny,12m,12,-0.9407995995915641,0.25,0.0,23.519989989789103
Spadek cen ropy i paliw ropopochodnych,0.6,negatywny,36m,36,-0.5809905281625176,0.4,0.0,23.239621126500705
Przemysł motoryzacyjny w Europie bardzo wolno przestawia się na produkcję samochodów elektrycznych,0.8,negatywny,12m,12,-0.8460494136339263,0.19999999999999996,0.0,16.92098827267852
Na wschodzie Ukrainy trwa słaby rozejm; Rosja kontroluje dwie główne elektrownie ukraińskie,0.7,negatywny,12m,12,-0.40146163345993713,0.30000000000000004,0.0,12.043849003798115
"PKB krajów strefy euro w roku 2025 spadnie średnio o 1,5% w stosunku do roku 2024",0.9,negatywny,12m,12,-0.3982502505851123,0.09999999999999998,0.0,3.9825025058511225
Mamy gwałtowny wzrost udziału energii z OZE w miksie energetycznym krajów UE oraz Chin,0.95,negatywny,12m,12,-0.5522282354167788,0.050000000000000044,0.0,2.7611411770838963
